                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    134,                0.84207,                0.89938,                 2.0775,                  0.821,                0.82854,                0.88044,                 0.7462,                 1.3062,                 1.0815,                  2.568,              0.0014733,              0.0014733,              0.0014733
                    135,                0.89729,                0.92437,                 2.0871,                0.77049,                0.82303,                0.87596,                0.75668,                 1.2919,                 1.1375,                 2.5259,              0.0014694,              0.0014694,              0.0014694
                    136,                0.85189,                0.89794,                  2.087,                0.89988,                0.74194,                0.87861,                0.76042,                 1.3061,                 1.1358,                 2.5832,              0.0014654,              0.0014654,              0.0014654
                    137,                0.88162,                0.90169,                 2.0999,                0.82616,                    0.8,                0.87833,                  0.762,                 1.2673,                 1.0798,                 2.4968,              0.0014614,              0.0014614,              0.0014614
                    138,                  0.876,                0.94027,                 2.0902,                0.89127,                0.79323,                 0.9032,                 0.7813,                 1.0754,                0.94799,                 2.3049,              0.0014575,              0.0014575,              0.0014575
                    139,                0.82622,                0.84435,                 2.0641,                0.86745,                0.76001,                 0.8857,                0.76428,                 1.1817,                  1.122,                 2.4866,              0.0014535,              0.0014535,              0.0014535
                    140,                0.80976,                0.83035,                 2.0453,                0.89581,                0.74839,                0.90845,                0.78209,                 1.0933,                0.91561,                 2.3691,              0.0014496,              0.0014496,              0.0014496
                    141,                0.82394,                0.85321,                 2.0562,                0.85308,                0.77419,                0.88508,                0.75682,                 1.2242,                0.93345,                 2.4897,              0.0014456,              0.0014456,              0.0014456
                    142,                0.77681,                0.80829,                  2.005,                0.90813,                0.79355,                0.90565,                0.77523,                 1.3459,                 1.0026,                 2.6551,              0.0014416,              0.0014416,              0.0014416
                    143,                0.89155,                0.96231,                 2.0938,                0.84856,                0.75915,                 0.8724,                0.75606,                 1.1229,                0.96475,                 2.3405,              0.0014377,              0.0014377,              0.0014377
                    144,                0.80586,                0.86937,                 2.0486,                0.82084,                0.80645,                0.89375,                0.77623,                  1.218,                0.92112,                 2.4969,              0.0014337,              0.0014337,              0.0014337
                    145,                 0.8405,                0.90881,                 2.0803,                0.85777,                0.76774,                0.87234,                0.77252,                 1.2715,                0.98058,                  2.541,              0.0014298,              0.0014298,              0.0014298
                    146,                0.83078,                0.85934,                 2.0565,                0.92421,                0.80645,                0.89991,                0.78122,                 1.2433,                0.95651,                 2.5366,              0.0014258,              0.0014258,              0.0014258
                    147,                0.81931,                0.87488,                 2.0608,                 0.8273,                0.82581,                0.87998,                0.77565,                 1.2163,                0.98663,                 2.3898,              0.0014218,              0.0014218,              0.0014218
                    148,                0.81549,                0.89653,                 2.0418,                  0.806,                0.80412,                0.86763,                0.74893,                  1.375,                 1.0374,                 2.5949,              0.0014179,              0.0014179,              0.0014179
                    149,                0.84829,                0.87254,                 2.0541,                0.89173,                0.81935,                0.90075,                0.78493,                 1.1312,                0.90663,                 2.3696,              0.0014139,              0.0014139,              0.0014139
                    150,                0.81854,                0.89636,                 2.0717,                0.92903,                0.76008,                0.86853,                0.76141,                 1.1441,                 1.0226,                 2.3521,                0.00141,                0.00141,                0.00141
